english;french;level;frequency;type
an umbrella;un parapluie;A2;8;CONCRETE
an uncle;un oncle;A1;6;CONCRETE
an understanding;une compréhension;B2;5;ABSTRACT
an undertaking;une entreprise;B2;4;ABSTRACT
an underwear;un sous-vêtement;B1;5;CONCRETE
unicorn;licorne;A2;3;CONCRETE
union;union;B2;6;ABSTRACT
uniqueness;singularité;C1;2;ABSTRACT
university;université;A2;8;CONCRETE
uprising;soulèvement;B2;4;ABSTRACT
an urge;un besoin pressant;B2;5;ABSTRACT
an usage;une utilisation;B2;6;ABSTRACT
an usher;un huissier;B2;3;CONCRETE
an utensil;un ustensile;B2;5;CONCRETE
an utility;une utilité;B2;6;ABSTRACT
utterance;énoncé;B2;5;CONCRETE
