english;french;level;frequency;type
The sailor;Le marin;B2;5;CONCRETE
The salad;La salade;A2;7;CONCRETE
The salmon;Le saumon;B1;6;CONCRETE
The salt;Le sel;A2;9;CONCRETE
The sand;Le sable;A2;8;CONCRETE
The sandwich;Le sandwich;A2;7;CONCRETE
The sausage;La saucisse;A2;6;CONCRETE
The school;L'école;A1;10;CONCRETE
The scientist;Le scientifique;B2;4;CONCRETE
The scissors;Les ciseaux;A2;6;CONCRETE
The sea;La mer;B2;7;CONCRETE
The shirt;La chemise;A2;8;CONCRETE
The shoe;La chaussure;A1;9;CONCRETE
The shrimp;La crevette;B2;3;CONCRETE
The sidewalk;Le trottoir;B1;6;CONCRETE
The singer;Le chanteur/chanteuse;B2;6;CONCRETE
The sink;Le lavabo;A2;5;CONCRETE
The skateboarder;Le skateur/la skateuse;B1;3;CONCRETE
The skier;Le skieur/la skieuse;B1;4;CONCRETE
The sky;Le ciel;A1;10;ABSTRACT
The snake;Le serpent;B2;5;CONCRETE
The snowboarder;Le snowboarder;B1;2;CONCRETE
The soap;Le savon;A2;7;CONCRETE
The sock;La chaussette;A1;8;CONCRETE
The sofa;Le canapé;B1;9;CONCRETE
soldier;soldat;B2;7;CONCRETE
songwriter;parolier;B2;4;CONCRETE
soup;soupe;A2;8;CONCRETE
speaker;orateur;B2;6;CONCRETE
spectator;spectateur;B1;6;CONCRETE
The sponsor;Le sponsor;B2;5;CONCRETE
The spoon;La cuillère;A1;8;CONCRETE
The star;L'étoile;A2;7;CONCRETE
The steak;Le steak;B1;4;CONCRETE
The store;Le magasin;A1;10;CONCRETE
The stove;La cuisinière;B1;6;CONCRETE
The straw;La paille;A2;4;CONCRETE
The street;La rue;A1;10;CONCRETE
The student;L'étudiant;A1;10;CONCRETE
The subscriber;L'abonné;B2;5;CONCRETE
The sugar;Le sucre;A2;8;CONCRETE
The suitcase;La valise;A2;6;CONCRETE
The sun;Le soleil;A1;9;CONCRETE
The supermarket;Le supermarché;A2;7;CONCRETE
The supporter;Le supporter;B2;4;CONCRETE
The surfer;Le surfeur;B1;4;CONCRETE
The surgeon;Le chirurgien;C1;5;CONCRETE
The swimmer;Le nageur;A2;4;CONCRETE
The syrup;Le sirop;A2;3;CONCRETE
The teacher;Le professeur;B2;8;CONCRETE
