english;french;level;frequency;type
rabbit;lapin;A1;5;CONCRETE
race;course;A2;6;CONCRETE
radio;radio;A2;8;CONCRETE
rain;pluie;A1;9;CONCRETE
rainbow;arc-en-ciel;A2;4;CONCRETE
The raisin;Le raisin;A2;5;CONCRETE
The rake;Le râteau;A2;4;CONCRETE
The ram;Le bélier;B2;3;CONCRETE
The ranch;Le ranch;B2;4;CONCRETE
The range;La gamme;B2;5;ABSTRACT
The raspberry;La framboise;A2;5;CONCRETE
The rat;Le rat;A2;6;CONCRETE
The rate;Le taux;B2;5;ABSTRACT
The ratio;Le ratio;B2;4;ABSTRACT
The raven;Le corbeau;B2;3;CONCRETE
The razor;Le rasoir;B2;6;CONCRETE
The reach;La portée;B2;4;ABSTRACT
The reaction;La réaction;B2;7;ABSTRACT
The reading;La lecture;B1;8;CONCRETE
The reality;La réalité;B1;10;ABSTRACT
The reason;La raison;B2;8;ABSTRACT
The rebellion;La rébellion;B2;5;ABSTRACT
The receipt;Le reçu;B2;4;CONCRETE
The reception;La réception;B1;6;CONCRETE
The recipe;La recette;A2;9;CONCRETE
The recognition;La reconnaissance;B2;6;ABSTRACT
The recommendation;La recommandation;B2;6;ABSTRACT
The record;Le dossier;B2;7;CONCRETE
The recovery;La récupération;B2;5;ABSTRACT
The recreation;La récréation;A2;4;CONCRETE
The recruitment;Le recrutement;B2;5;ABSTRACT
The red;Le rouge;A1;8;CONCRETE
The reduction;La réduction;B2;6;ABSTRACT
The reference;La référence;B2;7;ABSTRACT
The reflection;La réflexion;B2;6;ABSTRACT
The refrigerator;Le réfrigérateur;A2;8;CONCRETE
The refuge;Le refuge;B2;5;CONCRETE
The region;La région;A2;7;CONCRETE
The register;Le registre;B2;6;CONCRETE
The regret;Le regret;B2;6;ABSTRACT
The regulation;La réglementation;B2;7;ABSTRACT
The rehearsal;La répétition;B2;6;CONCRETE
The relationship;La relation;B1;9;ABSTRACT
The relaxation;La détente;B2;5;CONCRETE
The release;La libération;B2;7;ABSTRACT
The relevance;La pertinence;B2;6;ABSTRACT
The relief;Le soulagement;B2;5;CONCRETE
The religion;La religion;A2;8;ABSTRACT
The remainder;Le reste;B2;4;CONCRETE
The remark;La remarque;B2;6;ABSTRACT
The remedy;Le remède;B2;5;ABSTRACT
The reminder;Le rappel;B2;4;ABSTRACT
The removal;Le retrait;B2;4;CONCRETE
The rent;Le loyer;A2;8;CONCRETE
The repair;La réparation;B1;7;CONCRETE
The repeat;La répétition;B2;5;ABSTRACT
The replacement;Le remplacement;B2;5;CONCRETE
The report;Le rapport;B1;7;ABSTRACT
The representation;La représentation;B2;5;ABSTRACT
The reputation;La réputation;B2;6;ABSTRACT
The request;La demande;B2;7;CONCRETE
The requirement;L'exigence;B2;6;ABSTRACT
The rescue;Le sauvetage;B2;5;CONCRETE
The research;La recherche;B2;8;ABSTRACT
The reservation;La réservation;B1;7;CONCRETE
The residence;La résidence;B2;5;CONCRETE
The resistance;La résistance;B2;6;ABSTRACT
The resolution;La résolution;B2;6;ABSTRACT
The resort;La station;B2;5;CONCRETE
The resource;La ressource;B2;7;CONCRETE
The respect;Le respect;B2;7;ABSTRACT
The response;La réponse;B1;6;ABSTRACT
The responsibility;La responsabilité;B2;7;ABSTRACT
The rest;Le repos;B1;5;CONCRETE
The restaurant;Le restaurant;A2;8;CONCRETE
The result;Le résultat;B2;8;ABSTRACT
The resume;Le CV;B1;6;CONCRETE
The retail;La vente au détail;B2;5;ABSTRACT
The retirement;La retraite;A2;7;ABSTRACT
The return;Le retour;A2;8;CONCRETE
The revelation;La révélation;C1;5;ABSTRACT
The revenge;La revanche;B2;6;ABSTRACT
The revenue;Les revenus;B2;7;CONCRETE
The review;La critique;B2;8;ABSTRACT
The revolution;La révolution;B2;9;CONCRETE
The reward;La récompense;B2;6;ABSTRACT
The rhythm;Le rythme;B2;5;ABSTRACT
The rice;Le riz;A2;7;CONCRETE
The rich;Les riches;B2;5;ABSTRACT
The ride;Le tour;A2;6;CONCRETE
The rider;Le cavalier;B2;4;CONCRETE
The ridge;La crête;B2;3;CONCRETE
The rifle;Le fusil;B2;4;CONCRETE
The right;Le droit;B1;10;ABSTRACT
The ring;L'anneau;A2;7;CONCRETE
The riot;L'émeute;B2;5;CONCRETE
The rise;L'augmentation;B2;6;ABSTRACT
The risk;Le risque;B1;7;ABSTRACT
The river;La rivière;A2;8;CONCRETE
The road;La route;A1;10;CONCRETE
