english;french;level;frequency
abundant;abondant(e);B2;6
acute;aigu(ë);B2;5
adorable;adorable;A2;4
aged;âgé(e);B1;4
aggressive;agressif(ve);B2;5
alert;alerte;B1;5
alive;vivant(e);A2;5
alluring;séduisant(e);C1;3
aloof;à distance;C1;2
amazing;étonnant(e);B1;6
amiable;aimable;B1;5
ample;ample;B2;4
ancient;ancien/-ne;B2;6
angry;fâché/-e;A2;7
angular;anguleux/-se;C1;2
animated;animé/-e;B2;5
annoyed;agacé/-e;B1;5
anxious;anxieux/-se;B1;6
appetizing;appétissant/-e;B2;4
appropriate;approprié/-e;B2;7
arctic;arctique;B2;5
arid;aride;B2;4
aromatic;aromatique;B2;4
artificial;artificiel;B2;6
artistic;artistique;B1;6
ashamed;honteux/-euse;B2;2
aspiring;ambitieux/-euse;B2;3
assorted;divers/-e;B2;3
astonishing;étonnant;B2;4
athletic;athlétique;B1;5
attractive;attrayant;B1;7
austere;austère;C1;4
authentic;authentique;B2;6
automatic;automatique;B1;6
available;disponible;A2;8
average;moyen;B1;7
awake;éveillé;B2;4
aware;conscient;B2;6
awesome;impressionnant;B2;5
awful;affreux;B2;5
awkward;maladroit;B2;6
