english;french;level;frequency
Dainty;Délicat-e;B1;4
Dapper;Chic;B2;3
Daring;Audacieux-se;B2;5
Dark;Sombre;A2;8
Dazzling;Éblouissant-e;B2;4
Deadly;Mortel;B2;6
Deafening;Assourdissant;C1;5
Dear;Cher;A2;8
Dearest;Très cher;B2;4
Debonair;Élégant;C1;2
Decadent;décadent;C1;4
Decent;décent;B2;6
Decisive;décisif;B2;5
Dedicated;dévoué;B2;4
Deep;profond;B1;8
Defeated;Vaincu(e);B2;4
Defensive;Défensif(ve);B2;5
Defiant;Défiant(e);C1;3
Definite;Défini(e);B1;6
Delicate;Délicat(e);B2;7
Delicious;Délicieux(se);B2;8
Delightful;Délicieux(se);B2;6
Delirious;Délirant(e);C1;3
Demanding;Exigeant(e);B2;6
Demonic;Démoniaque;C1;4
Dependent;Dépendant;B1;6
Depressed;Déprimé;B2;5
Deranged;Déraisonnable;C1;2
Descriptive;Descriptif;B2;4
Deserted;Désert;B2;4
Desirable;Désirable;B2;6
Desperate;Désespéré;B2;5
Determined;Déterminé;B2;7
Devilish;Diabolique;C1;3
Devoted;Dévoué;B2;6
Dewy;Rosé;B1;3
Dexterous;Adroit;C1;4
Different;Différent;A2;10
Difficult;Difficile;A2;9
Digital;Numérique;B2;8
Diligent;Diligent(e);B2;6
Dim;Sombre;B2;4
Dimpled;Aux joues creuses;C1;1
Direct;Direct(e);B2;7
Dirty;Sale;A2;8
Disastrous;Catastrophique;B2;7
Discreet;Discret;B2;6
Diseased;Malade;B2;3
Disgusted;Dégoûté;B2;4
Disgusting;Dégoûtant;B2;6
Distinct;Distinct - Distincte;B2;6
Distorted;Déformé - Déformée;C1;4
