english;french;level;frequency;type;info
to hail;saluer de loin;B2;4
to harass;harceler;B2;5
to harden;durcir;B2;5
to harm;nuire;B2;6
to harness;exploiter;C1;4
to hasten;se dépêcher;C1;4
to hatch;éclore;B2;3
to haul;remorquer;C1;4
to heal;guérir;B2;6
to heap;entasser;C1;4
to hear;entendre;A2;8
to heat;chauffer;B1;5
to help;aider;A2;9
to hesitate;hésiter;B1;6
to hide;cacher;A2;7
to highlight;surligner;B2;4
to hinder;gêner;C1;3
to hire;embaucher;B1;6
to hit;frapper;A2;8
to hold;tenir;A2;9
to hone;affûter;C1;4
to hook;crocheter;B2;5
to hop;sauter;A2;4
to hope;espérer;A2;7
to hover;planer;B2;3
to huddle;se blottir;B2;3
to hug;prendre dans ses bras;A2;6
to hum;chanter;B1;4
to hunt;chasser;B2;4
to hurry;se dépêcher;B1;7
to hurt;blesser;B2;6
to hustle;bousculer;B2;4
to hyphenate;mettre un trait d'union;C1;2
