english;french;level;frequency;type
Daily;Quotidien;A2;7;Manner
Daintily;Délicatement;B2;3;Manner
Dangerously;Dangereusement;B1;8;Manner
Daringly;Audacieusement;C1;4;Manner
Darkly;Sombrement;B2;5;Manner
Dearly;Chèrement;B2;4;Manner
Deceitfully;Trompeusement;C1;2;Manner
Deeply;Profondément;A2;8;Degree
Definitely;Certainement;B1;9;Certainty
Deliberately;Délibérément;B2;7;Manner
Delicately;Délicatement;B1;5;manner
Delightfully;Délicieusement;B2;6;manner
Densely;Densément;C1;3;degree
Dependably;Fiablement;B2;4;manner
Desperately;Désespérément;B2;6;manner
Devotedly;Dévouéement;B2;3;Manner
Directly;Directement;B1;8;Manner
Discreetly;Discrètement;B2;4;Manner
Distantly;Distantement;C1;2;Manner
Doubtfully;Douteusement;B2;3;Manner
